Category_Name,Category_Number,Month,Amount
Broiler Lease Income,40000,January,112500.00
Broiler Lease Income,40000,February,112500.00
Broiler Lease Income,40000,March,112500.00
Broiler Lease Income,40000,April,111909.15
Broiler Lease Income,40000,May,112500.00
Broiler Lease Income,40000,June,112500.00
Broiler Lease Income,40000,July,112500.00
Incentive Payments,41000,January,16927.29
Incentive Payments,41000,February,7589.56
Incentive Payments,41000,March,9051.01
Incentive Payments,41000,April,6405.53
Incentive Payments,41000,May,5288.02
Incentive Payments,41000,June,17801.51
Incentive Payments,41000,July,3161.05
Manure,42000,January,0.00
Manure,42000,February,0.00
Manure,42000,March,12408.00
Manure,42000,April,10716.00
Manure,42000,May,0.00
Manure,42000,June,12972.00
Manure,42000,July,13536.00
Miscellaneous,43000,January,136.06
Miscellaneous,43000,February,76.53
Miscellaneous,43000,March,21115.52
Miscellaneous,43000,April,13315.11
Miscellaneous,43000,May,796.36
Miscellaneous,43000,June,309.17
Miscellaneous,43000,July,96.69
Uncategorized,999,January,0.00
Uncategorized,999,February,0.00
Uncategorized,999,March,1.00
Uncategorized,999,April,0.00
Uncategorized,999,May,114000.00
Uncategorized,999,June,0.00
Uncategorized,999,July,0.00
